date,tournament,adversario,categoria_adversario,rank,gols_brasil,gols_adversario
2011-02-09,Friendly,France,B,19.0,0.0,1.0
2011-03-27,Friendly,Scotland,D,50.0,2.0,0.0
2011-06-04,Friendly,Netherlands,A,2.0,0.0,0.0
2011-06-07,Friendly,Romania,D,42.0,1.0,0.0
2011-07-03,Copa América,Venezuela,E,69.0,0.0,0.0
2011-07-09,Copa América,Paraguay,C,32.0,2.0,2.0
2011-07-13,Copa América,Ecuador,E,68.0,4.0,2.0
2011-07-17,Copa América,Paraguay,C,32.0,0.0,0.0
2011-08-10,Friendly,Germany,A,3.0,2.0,3.0
2011-09-05,Friendly,Ghana,C,36.0,1.0,0.0
2011-09-14,Superclásico de las Américas,Argentina,A,9.0,0.0,0.0
2011-09-28,Superclásico de las Américas,Argentina,A,10.0,2.0,0.0
2011-10-07,Friendly,Costa Rica,D,57.0,1.0,0.0
2011-10-11,Friendly,Mexico,B,20.0,2.0,1.0
2011-11-10,Friendly,Gabon,E,68.0,2.0,0.0
2011-11-14,Friendly,Egypt,C,29.0,2.0,0.0
2012-02-28,Friendly,Bosnia and Herzegovina,B,19.0,2.0,1.0
2012-05-26,Friendly,Denmark,A,10.0,3.0,1.0
2012-05-30,Friendly,USA,C,29.0,4.0,1.0
2012-06-03,Friendly,Mexico,B,20.0,0.0,2.0
2012-06-09,Friendly,Argentina,A,7.0,3.0,4.0
2012-08-15,Friendly,Sweden,B,17.0,3.0,0.0
2012-09-07,Friendly,South Africa,E,74.0,1.0,0.0
2012-09-10,Friendly,China PR,E,78.0,8.0,0.0
2012-09-19,Superclásico de las Américas,Argentina,A,7.0,2.0,1.0
2012-10-11,Friendly,Iraq,E,80.0,6.0,0.0
2012-10-16,Friendly,Japan,B,23.0,4.0,0.0
2012-11-14,Friendly,Colombia,A,8.0,1.0,1.0
2012-11-21,Superclásico de las Américas,Argentina,A,3.0,1.0,2.0
2013-02-06,Friendly,England,A,6.0,1.0,2.0
2013-03-21,Friendly,Italy,A,5.0,2.0,2.0
2013-03-25,Friendly,Russia,A,10.0,1.0,1.0
2013-04-06,Friendly,Bolivia,C,37.0,4.0,0.0
2013-04-24,Friendly,Chile,B,23.0,2.0,2.0
2013-06-02,Friendly,England,A,7.0,2.0,2.0
2013-06-09,Friendly,France,B,18.0,3.0,0.0
2013-06-15,Confederations Cup,Japan,C,32.0,3.0,0.0
2013-06-19,Confederations Cup,Mexico,B,17.0,2.0,0.0
2013-06-22,Confederations Cup,Italy,A,8.0,4.0,2.0
2013-06-26,Confederations Cup,Uruguay,B,19.0,2.0,1.0
2013-06-30,Confederations Cup,Spain,A,1.0,3.0,0.0
2013-08-14,Friendly,Switzerland,B,15.0,0.0,1.0
2013-09-07,Friendly,Australia,D,46.0,6.0,0.0
2013-09-10,Friendly,Portugal,A,7.0,3.0,1.0
2013-10-12,Friendly,Korea Republic,D,58.0,2.0,0.0
2013-10-15,Friendly,Zambia,E,71.0,2.0,0.0
2013-11-16,Friendly,Honduras,C,34.0,5.0,0.0
2013-11-19,Friendly,Chile,B,12.0,2.0,1.0
2014-03-05,Friendly,South Africa,E,64.0,5.0,0.0
2014-06-03,Friendly,Panama,C,35.0,4.0,0.0
2014-06-06,Friendly,Serbia,C,30.0,1.0,0.0
2014-06-12,FIFA World Cup,Croatia,B,18.0,3.0,1.0
2014-06-17,FIFA World Cup,Mexico,B,20.0,0.0,0.0
2014-06-23,FIFA World Cup,Cameroon,D,56.0,4.0,1.0
2014-06-28,FIFA World Cup,Chile,B,14.0,1.0,1.0
2014-07-04,FIFA World Cup,Colombia,A,8.0,2.0,1.0
2014-07-08,FIFA World Cup,Germany,A,2.0,1.0,7.0
2014-07-12,FIFA World Cup,Netherlands,B,15.0,0.0,3.0
2014-09-05,Friendly,Colombia,A,4.0,1.0,0.0
2014-10-11,Superclásico de las Américas,Argentina,A,2.0,2.0,0.0
2014-10-14,Friendly,Japan,D,48.0,4.0,0.0
2014-11-12,Friendly,Turkey,D,46.0,4.0,0.0
2014-11-18,Friendly,Austria,C,29.0,2.0,1.0
2015-03-26,Friendly,France,A,8.0,3.0,1.0
2015-03-29,Friendly,Chile,B,15.0,1.0,0.0
2015-06-07,Friendly,Mexico,B,23.0,2.0,0.0
2015-06-10,Friendly,Honduras,E,75.0,1.0,0.0
2015-06-14,Copa América,Peru,E,61.0,2.0,1.0
2015-06-17,Copa América,Colombia,A,4.0,0.0,1.0
2015-06-21,Copa América,Venezuela,E,72.0,2.0,1.0
2015-06-27,Copa América,Paraguay,E,85.0,1.0,1.0
2015-09-05,Friendly,Costa Rica,C,39.0,1.0,0.0
2015-09-08,Friendly,USA,C,28.0,4.0,1.0
2015-10-08,FIFA World Cup qualification,Chile,A,9.0,0.0,2.0
2015-10-13,FIFA World Cup qualification,Venezuela,E,69.0,3.0,1.0
2015-11-13,FIFA World Cup qualification,Argentina,A,3.0,1.0,1.0
2015-11-17,FIFA World Cup qualification,Peru,D,57.0,3.0,0.0
2016-03-25,FIFA World Cup qualification,Uruguay,B,11.0,2.0,2.0
2016-03-29,FIFA World Cup qualification,Paraguay,D,43.0,2.0,2.0
2016-06-04,Copa América,Ecuador,B,13.0,0.0,0.0
2016-06-08,Copa América,Haiti,E,74.0,7.0,1.0
2016-06-12,Copa América,Peru,D,48.0,0.0,1.0
2016-09-01,FIFA World Cup qualification,Ecuador,B,17.0,3.0,0.0
2016-09-06,FIFA World Cup qualification,Colombia,A,3.0,2.0,1.0
2016-10-06,FIFA World Cup qualification,Bolivia,E,75.0,5.0,0.0
2016-10-11,FIFA World Cup qualification,Venezuela,D,60.0,2.0,0.0
2016-11-10,FIFA World Cup qualification,Argentina,A,1.0,3.0,0.0
2016-11-15,FIFA World Cup qualification,Peru,B,23.0,2.0,0.0
2017-01-26,Friendly,Colombia,A,6.0,1.0,0.0
2017-03-23,FIFA World Cup qualification,Uruguay,A,9.0,4.0,1.0
2017-03-28,FIFA World Cup qualification,Paraguay,D,43.0,3.0,0.0
2017-06-09,Superclásico de las Américas,Argentina,A,2.0,0.0,1.0
2017-06-13,Friendly,Australia,D,48.0,4.0,0.0
2017-08-31,FIFA World Cup qualification,Ecuador,C,32.0,2.0,0.0
2017-09-05,FIFA World Cup qualification,Colombia,A,8.0,1.0,1.0
2017-10-05,FIFA World Cup qualification,Bolivia,D,46.0,0.0,0.0
2017-10-10,FIFA World Cup qualification,Chile,A,9.0,3.0,0.0
2017-11-10,Friendly,Japan,D,44.0,3.0,1.0
2017-11-14,Friendly,England,B,12.0,0.0,0.0
2018-03-23,Friendly,Russia,E,63.0,3.0,0.0
2018-03-27,Friendly,Germany,A,1.0,1.0,0.0
2018-06-03,Friendly,Croatia,B,18.0,2.0,0.0
2018-06-10,Friendly,Austria,C,26.0,3.0,0.0
2018-06-17,FIFA World Cup,Switzerland,A,6.0,1.0,1.0
2018-06-22,FIFA World Cup,Costa Rica,B,23.0,2.0,0.0
2018-06-27,FIFA World Cup,Serbia,C,34.0,2.0,0.0
2018-07-02,FIFA World Cup,Mexico,A,10.0,2.0,0.0
2018-07-06,FIFA World Cup,Belgium,A,5.0,1.0,2.0
2018-09-07,Friendly,USA,B,22.0,2.0,0.0
2018-09-12,Friendly,El Salvador,E,72.0,5.0,0.0
2018-10-12,Friendly,Saudi Arabia,E,71.0,2.0,0.0
2018-10-16,Superclásico de las Américas,Argentina,B,11.0,1.0,0.0
2018-11-16,Friendly,Uruguay,A,6.0,1.0,0.0
2018-11-20,Friendly,Cameroon,D,51.0,1.0,0.0
2019-03-23,Friendly,Panama,E,76.0,1.0,1.0
2019-03-26,Friendly,Czech Republic,E,100.0,3.0,1.0
2019-06-05,Friendly,Qatar,D,55.0,2.0,0.0
2019-06-09,Friendly,Honduras,E,61.0,7.0,0.0
2019-06-14,Copa América,Bolivia,E,62.0,3.0,0.0
2019-06-18,Copa América,Venezuela,C,33.0,0.0,0.0
2019-06-22,Copa América,Peru,B,21.0,5.0,0.0
2019-06-27,Copa América,Paraguay,C,36.0,0.0,0.0
2019-07-02,Copa América,Argentina,B,11.0,2.0,0.0
2019-07-07,Copa América,Peru,B,21.0,3.0,1.0
2019-09-06,Friendly,Colombia,A,8.0,2.0,2.0
2019-09-10,Friendly,Peru,B,19.0,0.0,1.0
2019-10-10,Friendly,Senegal,B,20.0,1.0,1.0
2019-10-13,Friendly,Nigeria,C,34.0,1.0,1.0
2019-11-15,Superclásico de las Américas,Argentina,A,9.0,0.0,1.0
